0	-0.0867
0.00812	-0.0867
0.01625	-0.0866
0.02437	-0.0867
0.03249	-0.0862
0.04061	-0.0865
0.04874	-0.0865
0.05686	-0.0868
0.06498	-0.0867
0.0731	-0.0864
0.08123	-0.0868
0.08935	-0.0872
0.09747	-0.0874
0.1056	-0.0878
0.11372	-0.0876
0.12184	-0.0875
0.12996	-0.0879
0.13809	-0.0882
0.14621	-0.0884
0.15433	-0.0888
0.16245	-0.0888
0.17058	-0.089
0.1787	-0.0887
0.18682	-0.0892
0.19494	-0.0889
0.20307	-0.0891
0.21119	-0.0899
0.21931	-0.0906
0.22744	-0.0901
0.23556	-0.0895
0.24368	-0.0902
0.2518	-0.0904
0.25993	-0.0899
0.26805	-0.0904
0.27617	-0.0903
0.28429	-0.0908
0.29242	-0.0909
0.30054	-0.091
0.30866	-0.0915
0.31679	-0.0913
0.32491	-0.0919
0.33303	-0.0915
0.34115	-0.0918
0.34928	-0.0917
0.3574	-0.092
0.36552	-0.0922
0.37364	-0.0923
0.38177	-0.0923
0.38989	-0.0928
0.39801	-0.0928
0.40614	-0.0932
0.41426	-0.093
0.42238	-0.0939
0.4305	-0.0935
0.43863	-0.094
0.44675	-0.0937
0.45487	-0.0935
0.46299	-0.0942
0.47112	-0.0939
0.47924	-0.094
0.48736	-0.0943
0.49548	-0.0947
0.50361	-0.0947
0.51173	-0.0949
0.51985	-0.0945
0.52798	-0.0949
0.5361	-0.096
0.54422	-0.0949
0.55234	-0.0952
0.56047	-0.0956
0.56859	-0.0958
0.57671	-0.0953
0.58483	-0.0959
0.59296	-0.096
0.60108	-0.0958
0.6092	-0.0961
0.61733	-0.096
0.62545	-0.0963
0.63357	-0.0969
0.64169	-0.0967
0.64982	-0.0966
0.65794	-0.0968
0.66606	-0.097
0.67418	-0.0972
0.68231	-0.0973
0.69043	-0.0976
0.69855	-0.0973
0.70667	-0.0975
0.7148	-0.0976
0.72292	-0.0977
0.73104	-0.098
0.73917	-0.0978
0.74729	-0.0977
0.75541	-0.0977
0.76353	-0.0984
0.77166	-0.0982
0.77978	-0.0981
0.7879	-0.0988
0.79602	-0.0986
0.80415	-0.0992
0.81227	-0.0987
0.82039	-0.0991
0.82852	-0.0987
0.83664	-0.0992
0.84476	-0.0993
0.85288	-0.0994
0.86101	-0.0994
0.86913	-0.0993
0.87725	-0.0996
0.88537	-0.0999
0.8935	-0.1
0.90162	-0.1002
0.90974	-0.1002
0.91787	-0.1002
0.92599	-0.0999
0.93411	-0.1001
0.94223	-0.1007
0.95036	-0.1007
0.95848	-0.1006
0.9666	-0.1008
0.97472	-0.1008
0.98285	-0.1008
0.99097	-0.1011
0.99909	-0.1006
1.00721	-0.1012
1.01534	-0.1015
1.02346	-0.1017
1.03158	-0.101
1.03971	-0.1013
1.04783	-0.1008
1.05595	-0.1017
1.06407	-0.1016
1.0722	-0.1013
1.08032	-0.1019
1.08844	-0.1017
1.09656	-0.1021
1.10469	-0.1021
1.11281	-0.1021
1.12093	-0.1021
1.12906	-0.1025
1.13718	-0.1025
1.1453	-0.1031
1.15342	-0.1026
1.16155	-0.1027
1.16967	-0.1029
1.17779	-0.1027
1.18591	-0.1027
1.19404	-0.1031
1.20216	-0.1029
1.21028	-0.1033
1.21841	-0.1031
1.22653	-0.1033
1.23465	-0.1034
1.24277	-0.1032
1.2509	-0.1037
1.25902	-0.1035
1.26714	-0.104
1.27526	-0.1036
1.28339	-0.1037
1.29151	-0.1036
1.29963	-0.1038
1.30775	-0.1037
1.31588	-0.1041
1.324	-0.1041
1.33212	-0.1043
1.34025	-0.1048
1.34837	-0.1044
1.35649	-0.1045
1.36461	-0.1047
1.37274	-0.1052
1.38086	-0.1048
1.38898	-0.1051
1.3971	-0.1046
1.40523	-0.1043
1.41335	-0.1051
1.42147	-0.1051
1.4296	-0.1054
1.43772	-0.1054
1.44584	-0.1052
1.45396	-0.1051
1.46209	-0.1055
1.47021	-0.1052
1.47833	-0.1054
1.48645	-0.1053
1.49458	-0.1051
1.5027	-0.1058
1.51082	-0.1055
1.51894	-0.106
1.52707	-0.1059
1.53519	-0.106
1.54331	-0.1061
1.55144	-0.106
1.55956	-0.1061
1.56768	-0.1059
1.5758	-0.1064
1.58393	-0.106
1.59205	-0.1065
1.60017	-0.1059
1.60829	-0.1064
1.61642	-0.107
1.62454	-0.1068
1.63266	-0.1068
1.64079	-0.1069
1.64891	-0.1068
1.65703	-0.1063
1.66515	-0.1069
1.67328	-0.107
1.6814	-0.1069
1.68952	-0.1071
1.69764	-0.1076
1.70577	-0.107
1.71389	-0.1071
1.72201	-0.107
1.73014	-0.1073
1.73826	-0.1073
1.74638	-0.1071
1.7545	-0.1072
1.76263	-0.1073
1.77075	-0.1073
1.77887	-0.1075
1.78699	-0.1077
1.79512	-0.1076
1.80324	-0.1077
1.81136	-0.1072
1.81948	-0.1076
1.82761	-0.1076
1.83573	-0.1074
1.84385	-0.1081
1.85198	-0.1077
1.8601	-0.1081
1.86822	-0.1083
1.87634	-0.1083
1.88447	-0.1084
1.89259	-0.1078
1.90071	-0.1085
1.90883	-0.1081
1.91696	-0.1083
1.92508	-0.1086
1.9332	-0.1082
1.94133	-0.1084
1.94945	-0.109
1.95757	-0.1085
1.96569	-0.1084
1.97382	-0.1081
1.98194	-0.1085
1.99006	-0.1093
1.99818	-0.1085
2.00631	-0.1086
2.01443	-0.109
2.02255	-0.1092
2.03068	-0.109
2.0388	-0.1087
2.04692	-0.1089
2.05504	-0.1094
2.06317	-0.1092
2.07129	-0.109
2.07941	-0.109
